"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","","0","Product Catalog","0","0","Searching by keyword","0"
"4","","0","Product Catalog","0","0","Sally sorts by different criteria","0"
"1","","0","Product Catalog","0","0","The one where Sally only wants to see Power Drills","0"
"2","","0","Shopping Cart","0","0","Checking out a product","0"
"9","","0","Contacts","0","0","Contact form","0"
"1","","0","Product Catalog","0","0","The one where Sally searches for an Adjustable Wrench","0"
"1","","0","Product Catalog","0","0","The one where Sally only wants to see Hand Saws","0"
"1","","0","Product Catalog","0","0","The one where Sally searches for a more general term","0"
"1","","0","Product Catalog","0","0","The one where Sally searches for a product that doesn't exist","0"
